Team,Wins,Turn Overs,Interceptions Thrown per Game,Fumbles per Game
Kansas City,15,1.8,0.4,1.4
San Francisco,15,1.9,0.8,1.1
Baltimore,14,1.7,0.6,1.1
Green Bay,14,1.3,0.3,1
New Orleans,13,1,0.4,0.6
New England,12,1.5,0.6,0.9
Seattle,12,1.9,0.3,1.6
Tennessee,11,1.7,0.5,1.2
Minnesota,11,2.4,0.5,1.9
Houston,11,2.1,0.8,1.3
Buffalo,10,2.2,0.7,1.5
LA Rams,9,2.2,1.1,1.1
Philadelphia,9,2.5,0.5,2
Dallas,8,1.6,0.7,0.9
Pittsburgh,8,3.1,1.2,1.9
Chicago,8,1.6,0.8,0.8
Tampa Bay,7,3.3,1.9,1.4
Atlanta,7,2.2,0.9,1.3
Indianapolis,7,1.7,0.6,1.1
Las Vegas,7,1.8,0.5,1.3
Denver,7,1.9,0.6,1.3
NY Jets,7,2.3,1,1.3
Cleveland,6,2.2,1.3,0.9
Jacksonville,6,1.8,0.5,1.3
Arizona,5,1.4,0.8,0.6
Carolina,5,2.9,1.3,1.6
LA Chargers,5,2.5,1.2,1.3
Miami,5,2.7,1.1,1.6
NY Giants,4,3,1.1,1.9
Detroit,3,1.7,0.9,0.8
Washington,3,2.1,0.8,1.3
Cincinnati,2,2.6,1,1.6
